pokedex_number,name,abilities,weight_kg,height_m,type1,type2,generation,is_legendary,hp,attack,defense,sp_attack,sp_defense,speed,base_total,capture_rate,classfication,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
1,Bulbasaur,"['Overgrow', 'Chlorophyll']",6.9,0.7,grass,poison,1,0,45,49,49,65,65,45,318,45.0,Seed Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
2,Ivysaur,"['Overgrow', 'Chlorophyll']",13.0,1.0,grass,poison,1,0,60,62,63,80,80,60,405,45.0,Seed Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
3,Venusaur,"['Overgrow', 'Chlorophyll']",100.0,2.0,grass,poison,1,0,80,100,123,122,120,80,625,45.0,Seed Pokémon,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
4,Charmander,"['Blaze', 'Solar Power']",8.5,0.6,fire,,1,0,39,52,43,60,50,65,309,45.0,Lizard Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
5,Charmeleon,"['Blaze', 'Solar Power']",19.0,1.1,fire,,1,0,58,64,58,80,65,80,405,45.0,Flame Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
6,Charizard,"['Blaze', 'Solar Power']",90.5,1.7,fire,flying,1,0,78,104,78,159,115,100,634,45.0,Flame Pokémon,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
7,Squirtle,"['Torrent', 'Rain Dish']",9.0,0.5,water,,1,0,44,48,65,50,64,43,314,45.0,Tiny Turtle Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
8,Wartortle,"['Torrent', 'Rain Dish']",22.5,1.0,water,,1,0,59,63,80,65,80,58,405,45.0,Turtle Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
9,Blastoise,"['Torrent', 'Rain Dish']",85.5,1.6,water,,1,0,79,103,120,135,115,78,630,45.0,Shellfish Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
10,Caterpie,"['Shield Dust', 'Run Away']",2.9,0.3,bug,,1,0,45,30,35,20,20,45,195,255.0,Worm Pokémon,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
11,Metapod,['Shed Skin'],9.9,0.7,bug,,1,0,50,20,55,25,25,30,205,120.0,Cocoon Pokémon,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
12,Butterfree,"['Compoundeyes', 'Tinted Lens']",32.0,1.1,bug,flying,1,0,60,45,50,90,80,70,395,45.0,Butterfly Pokémon,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
13,Weedle,"['Shield Dust', 'Run Away']",3.2,0.3,bug,poison,1,0,40,35,30,20,20,50,195,255.0,Hairy Pokémon,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
14,Kakuna,['Shed Skin'],10.0,0.6,bug,poison,1,0,45,25,50,25,25,35,205,120.0,Cocoon Pokémon,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
15,Beedrill,"['Swarm', 'Sniper']",29.5,1.0,bug,poison,1,0,65,150,40,15,80,145,495,45.0,Poison Bee Pokémon,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
16,Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.8,0.3,normal,flying,1,0,40,45,40,35,35,56,251,255.0,Tiny Bird Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
17,Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",30.0,1.1,normal,flying,1,0,63,60,55,50,50,71,349,120.0,Bird Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
18,Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",39.5,1.5,normal,flying,1,0,83,80,80,135,80,121,579,45.0,Bird Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
19,Rattata,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",,,normal,dark,1,0,30,56,35,25,35,72,253,255.0,Mouse Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
